hpo_id,maxo_label
HP:0040291,biopsy of muscle tissue
HP:0100614,biopsy of muscle tissue
HP:0034635,biopsy of muscle tissue
HP:0034683,biopsy of muscle tissue
HP:0034519,biopsy of muscle tissue
HP:0034510,biopsy of muscle tissue
HP:0034511,biopsy of muscle tissue
HP:0032019,biopsy of muscle tissue
HP:0034571,biopsy of ovary
HP:0034346,biopsy of pancreas
HP:0033757,biopsy of pancreas
HP:0034584,biopsy of pancreas
HP:0025130,biopsy of small intestine
HP:0025129,biopsy of small intestine
HP:0004788,biopsy of small intestine
HP:0011472,biopsy of small intestine
HP:0033996,biopsy of small intestine
HP:0011473,biopsy of small intestine
HP:0033995,biopsy of small intestine
HP:0033143,biopsy of small intestine
HP:0034550,biopsy of small intestine
HP:0034588,biopsy of small intestine
HP:0002398,biopsy of spinal cord
HP:0410147,biopsy of stomach
HP:0011781,biopsy of thyroid gland
HP:0032020,biopsy of bladder
HP:0025092,biopsy of skin
HP:0025122,biopsy of skin
HP:0025117,biopsy of skin
HP:0025115,biopsy of skin
HP:0025114,biopsy of skin
HP:0025082,biopsy of skin
HP:0025164,biopsy of skin
HP:0025165,biopsy of skin
HP:0025166,biopsy of skin
HP:0025167,biopsy of skin
HP:0033801,biopsy of skin
HP:0033804,biopsy of skin
HP:0033803,biopsy of skin
HP:0033802,biopsy of skin
HP:0034194,biopsy of skin
HP:0034193,biopsy of skin
HP:0003341,biopsy of skin
HP:0011124,biopsy of skin
HP:0040189,biopsy of skin
HP:0040190,biopsy of skin
HP:0025524,biopsy of skin
HP:0100792,biopsy of skin
HP:0025525,biopsy of skin
HP:0025526,biopsy of skin
HP:0033807,biopsy of skin
HP:0033806,biopsy of skin
HP:0001036,biopsy of skin
HP:0040009,biopsy of skin
HP:0001029,biopsy of skin
HP:0000962,biopsy of skin
HP:0005595,biopsy of skin
HP:0007448,biopsy of skin
HP:0007468,biopsy of skin
HP:0007570,biopsy of skin
HP:0007390,biopsy of skin
HP:0031288,biopsy of skin
HP:0007502,biopsy of skin
HP:0007501,biopsy of skin
HP:0033707,biopsy of skin
HP:0007543,biopsy of skin
HP:0025080,biopsy of skin
HP:0007490,biopsy of skin
HP:0000222,biopsy of skin
HP:0025083,biopsy of skin
HP:0034067,biopsy of skin
HP:0031538,biopsy of skin
HP:0034256,biopsy of skin
HP:0031540,biopsy of skin
HP:0031541,biopsy of skin
HP:0020117,biopsy of skin
HP:0032449,biopsy of skin
HP:0031539,biopsy of skin
HP:4000107,biopsy of skin
HP:0012309,biopsy of skin
HP:0032348,biopsy of skin
HP:0032347,biopsy of skin
HP:0032346,biopsy of skin
HP:0011135,biopsy of skin
HP:0007387,biopsy of skin
HP:0007592,biopsy of skin
HP:0007397,biopsy of skin
HP:0040042,biopsy of skin
HP:0040043,biopsy of skin
HP:0011136,biopsy of skin
HP:0032226,biopsy of skin
HP:0410400,biopsy of skin
HP:0032227,biopsy of skin
HP:0000971,biopsy of skin
HP:0007500,biopsy of skin
HP:0034426,biopsy of skin
HP:0034573,biopsy of skin
HP:0034580,biopsy of skin
HP:0034579,biopsy of skin
HP:0034578,biopsy of skin
HP:0034577,biopsy of skin
HP:0034576,biopsy of skin
HP:0034575,biopsy of skin
HP:0034574,biopsy of skin
HP:0025521,medical magnetic resonance imaging procedure
HP:0000301,MRI of the head
HP:0030319,MRI of the head
HP:3000018,MRI of the head
HP:3000015,MRI of the head
HP:3000014,MRI of the head
HP:3000013,MRI of the head
HP:3000010,MRI of the head
HP:0430020,MRI of the head
HP:0000338,MRI of the head
HP:3000009,MRI of the head
HP:3000007,MRI of the head
HP:0430019,MRI of the head
HP:0430018,MRI of the head
HP:3000029,MRI of the head
HP:0004660,MRI of the head
HP:3000028,MRI of the head
HP:3000020,MRI of the head
HP:3000071,MRI of the head
HP:3000070,MRI of the head
HP:0011390,MRI of the head
HP:0040106,MRI of the head
HP:0008586,MRI of the head
HP:0011388,MRI of the head
HP:0004458,MRI of the head
HP:0008554,MRI of the head
HP:0011387,MRI of the head
HP:0011386,MRI of the head
HP:0011385,MRI of the head
HP:0011384,MRI of the head
HP:0011383,MRI of the head
HP:0011382,MRI of the head
HP:0011381,MRI of the head
HP:0011380,MRI of the head
HP:0005102,MRI of the head
HP:3000002,MRI of the head
HP:0031000,MRI of the head
HP:0011376,MRI of the head
HP:0000375,MRI of the head
HP:0000376,MRI of the head
HP:0011379,MRI of the head
HP:0011378,MRI of the head
HP:0011377,MRI of the head
HP:0040110,MRI of the head
HP:0011375,MRI of the head
HP:0011374,MRI of the head
HP:0011373,MRI of the head
HP:0011372,MRI of the head
HP:0030999,MRI of the head
HP:0040109,MRI of the head
HP:0011396,MRI of the head
HP:0008774,MRI of the head
HP:0011395,MRI of the head
HP:0011394,MRI of the head
HP:0011393,MRI of the head
HP:0011392,MRI of the head
HP:0011391,MRI of the head
HP:0040108,MRI of the head
HP:0040107,MRI of the head
HP:0100802,MRI of the abdomen
HP:0100800,MRI of the abdomen
HP:0100801,MRI of the abdomen
HP:0002594,MRI of the abdomen
HP:0100811,MRI of the abdomen
HP:0004388,MRI of the abdomen
HP:0500027,MRI of the abdomen
HP:0005210,MRI of the abdomen
HP:0100839,MRI of the abdomen
HP:0012022,MRI of the abdomen
HP:0012437,MRI of the abdomen
HP:0030170,MRI of the abdomen
HP:0005608,MRI of the abdomen
HP:0034504,MRI of the abdomen
HP:0030154,MRI of the abdomen
HP:0034507,MRI of the abdomen
HP:0034506,MRI of the abdomen
HP:0034505,MRI of the abdomen
HP:0032023,MRI of the abdomen
HP:0011980,MRI of the abdomen
HP:0011981,MRI of the abdomen
HP:0011982,MRI of the abdomen
HP:0011983,MRI of the abdomen
HP:0002492,MRI of the brain
HP:0007365,MRI of the brain
HP:0007016,MRI of the brain
HP:0002314,MRI of the brain
HP:0008361,MRI of the brain
HP:0007117,MRI of the brain
HP:0007372,MRI of the brain
HP:0002118,MRI of the brain
HP:0012703,MRI of the brain
HP:0025100,MRI of the brain
HP:0410170,MRI of the brain
HP:0025517,MRI of the brain
HP:0033646,MRI of the brain
HP:0033715,MRI of the brain
HP:0025101,MRI of the brain
HP:0033989,MRI of the brain
HP:0100961,MRI of the brain
HP:0034396,MRI of the brain
HP:0025102,MRI of the brain
HP:0002438,MRI of the brain
HP:0007099,MRI of the brain
HP:0002308,MRI of the brain
HP:0002350,MRI of the brain
HP:0025660,MRI of the brain
HP:0025661,MRI of the brain
HP:0006951,MRI of the brain
HP:0002454,MRI of the brain
HP:0002453,MRI of the brain
HP:0031627,MRI of the brain
HP:0033049,MRI of the brain
HP:0007132,MRI of the brain
HP:0030891,MRI of the brain
HP:0030081,MRI of the brain
HP:0025192,MRI of the brain
HP:0025163,MRI of the brain
HP:0002418,MRI of the brain
HP:0033679,MRI of the brain
HP:0007265,MRI of the brain
HP:0033249,MRI of the brain
HP:0034316,MRI of the brain
HP:0011960,MRI of the brain
HP:0033048,MRI of the brain
HP:0034259,MRI of the brain
HP:0034258,MRI of the brain
HP:0045007,MRI of the brain
HP:0034254,MRI of the brain
HP:0012678,MRI of the brain
HP:0002419,MRI of the brain
HP:0002415,MRI of the brain
HP:0033369,MRI of the brain
HP:0006926,MRI of the brain
HP:0003269,MRI of the brain
HP:0006978,MRI of the brain
HP:0002408,MRI of the brain
HP:0011931,MRI of the brain
HP:0011933,MRI of the brain
HP:0030285,MRI of the brain
HP:0030286,MRI of the brain
HP:0002404,MRI of the brain
HP:0011932,MRI of the brain
HP:0001272,MRI of the brain
HP:0012080,MRI of the brain
HP:0007263,MRI of the brain
HP:0012082,MRI of the brain
HP:0008278,MRI of the brain
HP:0100275,MRI of the brain
HP:0006855,MRI of the brain
HP:0006879,MRI of the brain
HP:0007370,MRI of the brain
HP:0002079,MRI of the brain
HP:0006849,MRI of the brain
HP:0001274,MRI of the brain
HP:0001338,MRI of the brain
HP:0012506,MRI of the brain
HP:0410279,MRI of the brain
HP:0010576,MRI of the brain
HP:0410278,MRI of the brain
HP:0100842,MRI of the brain
HP:0410263,MRI of the brain
HP:0031161,MRI of the brain
HP:0012659,MRI of the brain
HP:0025460,MRI of the brain
HP:0012658,MRI of the brain
HP:0030980,MRI of the brain
HP:0500021,MRI of the brain
HP:0012657,MRI of the brain
HP:0025046,MRI of the brain
HP:0012708,MRI of the brain
HP:0025047,MRI of the brain
HP:0025048,MRI of the brain
HP:0025049,MRI of the brain
HP:0012709,MRI of the brain
HP:0012707,MRI of the brain
HP:0012706,MRI of the brain
HP:0025045,MRI of the brain
HP:0012705,MRI of the brain
HP:0034496,MRI of the brain
HP:0034495,MRI of the brain
HP:0012662,MRI of the brain
HP:0012661,MRI of the brain
HP:0012660,MRI of the brain
HP:0025053,MRI of the brain
HP:0025052,MRI of the brain
HP:0025051,MRI of the brain
HP:0025050,MRI of the brain
HP:0002542,MRI of the brain
HP:0002539,MRI of the brain
HP:0032050,MRI of the brain
HP:0032051,MRI of the brain
HP:0032052,MRI of the brain
HP:0032053,MRI of the brain
HP:0032054,MRI of the brain
HP:0032055,MRI of the brain
HP:0032056,MRI of the brain
HP:0032046,MRI of the brain
HP:0032057,MRI of the brain
HP:0032058,MRI of the brain
HP:0032047,MRI of the brain
HP:0032048,MRI of the brain
HP:0032059,MRI of the brain
HP:0032049,MRI of the brain
HP:0006930,MRI of the brain
HP:0002538,MRI of the brain
HP:0002536,MRI of the brain
HP:0009879,MRI of the brain
HP:0002126,MRI of the brain
HP:0001302,MRI of the brain
HP:0006818,MRI of the brain
HP:0032400,MRI of the brain
HP:0032471,MRI of the brain
HP:0007227,MRI of the brain
HP:0032475,MRI of the brain
HP:0031882,MRI of the brain
HP:0032406,MRI of the brain
HP:0032407,MRI of the brain
HP:0032409,MRI of the brain
HP:0025646,MRI of the brain
HP:0032456,MRI of the brain
HP:0032457,MRI of the brain
HP:0001339,MRI of the brain
HP:0007187,MRI of the brain
HP:0020187,MRI of the brain
HP:0020188,MRI of the brain
HP:0020189,MRI of the brain
HP:0006821,MRI of the brain
HP:0032410,MRI of the brain
HP:0032411,MRI of the brain
HP:0032412,MRI of the brain
HP:0032413,MRI of the brain
HP:0012650,MRI of the brain
HP:0032415,MRI of the brain
HP:0045028,MRI of the brain
HP:0020190,MRI of the brain
HP:0020191,MRI of the brain
HP:0020192,MRI of the brain
HP:0032398,MRI of the brain
HP:0032399,MRI of the brain
HP:0007260,MRI of the brain
HP:0006927,MRI of the brain
HP:0011400,MRI of the brain
HP:0007162,MRI of the brain
HP:0012754,MRI of the brain
HP:0008311,MRI of the brain
HP:0007305,MRI of the brain
HP:0002545,MRI of the brain
HP:0006808,MRI of the brain
HP:0007266,MRI of the brain
HP:0033846,MRI of the brain
HP:0003429,MRI of the brain
HP:0007258,MRI of the brain
HP:0002188,MRI of the brain
HP:0002518,MRI of the brain
HP:0025728,MRI of the brain
HP:0006970,MRI of the brain
HP:0007109,MRI of the brain
HP:0000933,MRI of the brain
HP:0002508,MRI of the brain
HP:0012444,MRI of the brain
HP:0007112,MRI of the brain
HP:0012157,MRI of the brain
HP:0002120,MRI of the brain
HP:0007371,MRI of the brain
HP:0007058,MRI of the brain
HP:0007374,MRI of the brain
HP:0002506,MRI of the brain
HP:0012104,MRI of the brain
HP:0002340,MRI of the brain
HP:0012105,MRI of the brain
HP:0100308,MRI of the brain
HP:0006964,MRI of the brain
HP:0002283,MRI of the brain
HP:0007369,MRI of the brain
HP:0002059,MRI of the brain
HP:0006913,MRI of the brain
HP:0006892,MRI of the brain
HP:0007313,MRI of the brain
HP:0001360,MRI of the brain
HP:0002507,MRI of the brain
HP:0006870,MRI of the brain
HP:0006988,MRI of the brain
HP:0025670,MRI of the brain
HP:0030779,MRI of the brain
HP:0002500,MRI of the brain
HP:0007042,MRI of the brain
HP:0040333,MRI of the brain
HP:0040332,MRI of the brain
HP:0040331,MRI of the brain
HP:0040330,MRI of the brain
HP:0012430,MRI of the brain
HP:0007074,MRI of the brain
HP:0012794,MRI of the brain
HP:0040328,MRI of the brain
HP:0040329,MRI of the brain
HP:0007204,MRI of the brain
HP:0200011,MRI of the brain
HP:0200017,MRI of the brain
HP:0007321,MRI of the brain
HP:0200012,MRI of the brain
HP:0030890,MRI of the brain
HP:0030892,MRI of the brain
HP:0006989,MRI of the brain
HP:0012429,MRI of the brain
HP:0034054,MRI of the brain
HP:0012502,MRI of the brain
HP:0034051,MRI of the brain
HP:0034295,MRI of the brain
HP:0033725,MRI of the brain
HP:0007103,MRI of the brain
HP:0030798,MRI of the brain
HP:0030797,MRI of the brain
HP:0006812,MRI of the brain
HP:0007052,MRI of the brain
HP:0007341,MRI of the brain
HP:0034007,MRI of the brain
HP:0031948,MRI of the brain
HP:0030303,MRI of the brain
